,Unnamed: 0,equality_female_graduates (%),equality_female_management (%),equality_female_employees (%),equality_leave_primary (W),equality_leave_secondary (W),equality_gender_pay (%),equality_gender_pay_improvement (%),equality_gender_bonus (%),equality_gender_directors (%),equality_gender_appointments (%),equality_wise (Y/N),"equality_wise_level ,Level(4-0)",equality_bame_employees (%),equality_bame_pay (%),equality_bame_management (%),equality_lgbt_employees (%),equality_lgbt_pay (%),equality_lgbt_management (%),equality_disability_employees (%),equality_disability_pay (%),equality_disability_management (%),equality_gender_pay_previous (%),equality_parker (Y/N),equality_bame_reporting (Y/N),equality_lgbt_reporting (Y/N),equality_disability_reporting (Y/N)
0,1,,24.0,21.0,,,41.0,8.0,78.0,0.273,0.2,0,0.0,,,,,,,,,,49.0,1.0,0.0,0.0,0.0
1,2,,35.8,52.0,,,28.0,0.0,-95.9,0.25,0.0,1,2.0,,,,,,,,,,28.0,0.0,0.0,0.0,0.0
2,3,,29.0,51.0,16.0,2.0,3.6,0.3,24.9,0.3,0.5,0,0.0,6.07,,,9.35,,,2.83,,,3.9,0.0,0.0,0.0,0.0
3,4,14.0,13.8,9.6,,,-1.3,-0.4,-37.1,0.375,0.4286,0,0.0,,,,,,,,,,-1.7,0.0,0.0,0.0,0.0
4,5,,,9.0,,,,,,0.182,0.5,0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0
5,6,60.0,42.0,39.0,,,13.3,4.2,-20.0,0.429,0.667,0,0.0,14.0,,,,,,,,,17.5,0.0,0.0,0.0,0.0
6,7,47.2,22.0,51.0,26.0,26.0,27.3,0.5,39.0,0.5,0.25,0,0.0,,,,,,,,,,27.8,0.0,0.0,0.0,0.0
7,8,,28.0,13.0,18.0,,19.1,6.9,0.0,0.222,0.143,1,2.0,,,,,,,,,,26.0,0.0,0.0,0.0,0.0
8,9,,44.6,50.1,,,13.5,0.0,25.2,0.364,0.6,1,2.0,,,,,,,,,,13.5,1.0,0.0,0.0,0.0
9,10,,17.0,21.0,2.0,2.0,9.6,0.7,8.9,0.385,0.6,1,2.0,,,,,,,,,,10.3,1.0,0.0,0.0,0.0
10,11,,28.4,44.8,26.0,2.0,42.9,-0.4,43.1,0.273,0.286,0,0.0,40.0,,,,,,6.0,,,42.5,1.0,0.0,0.0,0.0
11,12,46.0,22.0,26.0,16.0,1.0,34.0,0.0,49.0,0.3,0.333,1,3.0,,,10.0,,,,,,,34.0,1.0,0.0,0.0,0.0
12,13,,15.0,31.0,,,3.2,0.3,3.8,0.375,0.667,0,0.0,,,11.1,,,,,,,3.5,1.0,0.0,0.0,0.0
13,14,50.0,23.6,23.8,10.0,6.0,15.0,0.7,6.2,0.1818,0.1429,0,0.0,,,,3.1,,,,,,15.7,1.0,0.0,0.0,0.0
14,15,,50.0,38.5,,,38.9,-1.0,36.9,0.313,0.25,0,0.0,,,,,,,,,,37.9,0.0,0.0,0.0,0.0
15,16,,33.0,51.7,26.0,2.0,34.9,5.7,64.5,0.3,0.2,0,0.0,3.4,,,,,,,,,40.6,0.0,0.0,0.0,0.0
16,17,,13.0,36.0,,,-9.2,2.9,-33.3,0.25,0.0,0,0.0,,,,,,,,,,-6.3,0.0,0.0,0.0,0.0
17,18,48.0,24.0,35.0,12.0,2.0,19.8,1.0,38.8,0.417,0.5,0,0.0,26.0,,17.0,,,,,,,20.8,0.0,0.0,0.0,0.0
18,19,,,67.0,18.0,18.0,8.7,-0.9,34.0,0.454,0.4,0,0.0,,,,,,,,,,7.8,0.0,0.0,0.0,0.0
19,20,,28.0,24.0,18.0,2.0,4.8,0.2,-21.5,0.417,0.429,0,0.0,,12.0,,,,,,,,5.0,1.0,1.0,0.0,0.0
20,21,55.0,37.0,27.1,10.0,1.0,,,,0.308,0.167,0,0.0,,,,,,,0.6,,,,1.0,0.0,0.0,0.0
21,22,,,57.5,,,38.4,2.1,71.6,0.333,0.667,0,0.0,,,,,,,,,,40.5,1.0,0.0,0.0,0.0
22,23,54.0,29.0,29.0,26.0,6.0,0.3,-0.01,0.23,0.23,0.222,1,0.0,12.0,,0.1,,,,0.0059,,,0.31,1.0,0.0,0.0,0.0
23,24,,42.0,59.0,,,9.9,2.4,63.7,0.4167,0.6,0,0.0,,,,,,,,,,12.3,1.0,0.0,0.0,0.0
24,25,,16.7,32.9,16.0,2.0,23.1,-0.3,33.3,0.375,0.5,0,0.0,,,,,,,,,,22.8,0.0,0.0,0.0,0.0
25,26,,10.0,16.0,,,,,,0.455,0.4,0,0.0,,,,,,,1.8813,,,,0.0,0.0,0.0,0.0
26,27,,17.0,35.0,,,,,,0.273,0.25,0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
27,28,,36.0,33.0,26.0,4.0,-7.5,4.0,8.7,0.444,0.75,0,0.0,,,,,,,,,,-3.5,1.0,0.0,0.0,0.0
28,29,,12.0,27.0,,,,,,0.111,0.0,0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
29,30,,31.0,44.0,12.0,12.0,26.5,3.44,42.11,0.333,0.667,0,0.0,,,,,,,,,,29.94,1.0,0.0,0.0,0.0
30,31,,,54.0,6.0,,47.9,-2.4,40.9,0.3,0.6,0,0.0,,,,,,,,,,45.5,,0.0,0.0,0.0
31,32,,24.0,23.0,,,2.9,-0.21,21.09,0.333,0.286,0,0.0,,,,,,,,,,2.69,0.0,0.0,0.0,0.0
32,33,,29.95,38.6,,,11.0,1.0,61.0,0.4,0.6,0,0.0,,,,,,,,,,12.0,0.0,0.0,0.0,0.0
33,34,27.0,5.22,7.78,,,,,,0.28,0.5,0,,,,,,,,,,,,,,,
34,35,,,15.0,,,22.6,1.4,,0.25,0.5,0,0.0,,,,,,,,,,24.0,0.0,0.0,0.0,0.0
35,36,,,47.4,16.0,8.0,-0.6,0.26,-6.89,0.455,0.429,1,3.0,,,,,,,,,,-0.34,1.0,0.0,0.0,0.0
36,37,,33.0,35.0,,,,,,0.25,0.4,0,0.0,36.0,,,,,,,,,,1.0,0.0,0.0,0.0
37,38,25.0,26.0,34.8,6.0,2.0,20.4,-2.1,56.1,0.5,0.4,0,0.0,8.3,,,,,,2.6,,,18.3,0.0,0.0,0.0,0.0
38,39,,24.0,42.0,,,23.3,-6.3,13.9,0.4,0.75,0,0.0,,,,,,,,,,17.0,1.0,0.0,0.0,0.0
39,40,,28.0,52.0,19.0,2.0,47.8,-0.4,60.5,0.357,0.0,1,3.0,,,,,,,,,,47.4,1.0,0.0,0.0,0.0
40,41,,27.0,45.0,6.0,,13.0,-3.0,8.0,0.333,0.429,0,0.0,,,,,,,1.4,,,10.0,0.0,0.0,0.0,0.0
41,42,,25.6,31.0,,,33.9,,69.5,0.33,0.29,0,,,,,,,,,,,,,,,
42,43,,38.0,57.3,,,34.2,1.5,44.6,0.364,0.333,0,0.0,,,,,,,,,,35.7,1.0,0.0,0.0,0.0
43,44,50.0,23.7,40.0,18.0,6.0,,,,0.333,0.5,0,0.0,12.5,,,,,,,,,,0.0,0.0,0.0,0.0
44,45,,11.0,42.0,,,13.9,1.3,40.0,0.4286,0.4,0,0.0,,,,,,,,,,15.2,0.0,0.0,0.0,0.0
45,46,,30.0,59.0,,,21.1,1.3,43.8,0.222,0.25,0,0.0,,,,,,,,,,22.4,0.0,0.0,0.0,0.0
46,47,,18.18,35.19,,,18.0,0.0,0.0,0.3,0.0,0,0.0,,,,,,,,,,18.0,1.0,0.0,0.0,0.0
47,48,,42.1,52.3,18.0,2.0,11.0,0.9,0.0,0.4,0.429,0,0.0,11.9,7.8,,6.3,,,2.1,,,11.9,1.0,1.0,0.0,0.0
48,49,,29.0,48.0,,,1.4,-1.0,23.3,0.286,0.333,0,0.0,,,,,,,,,,0.4,0.0,0.0,0.0,0.0
49,50,,18.0,37.0,6.0,,17.8,-4.7,53.1,0.3,0.25,0,0.0,,,,,,,,,,13.1,1.0,0.0,0.0,0.0
50,51,58.0,25.0,26.9,16.0,2.0,8.5,0.7,7.4,0.333,0.6,1,2.0,,,,,,,,,,9.2,1.0,0.0,0.0,0.0
51,52,,41.0,52.4,26.0,2.0,37.1,0.7,57.3,0.4,0.5,0,0.0,16.4,,0.0,3.0,,,,,,37.8,0.0,0.0,0.0,0.0
52,53,,37.2,48.5,,,29.0,2.8,49.1,0.273,0.25,0,0.0,,,,,,,,,,31.8,0.0,0.0,0.0,0.0
53,54,41.0,36.8,58.2,20.0,6.0,33.5,-0.7,41.8,0.25,0.25,1,4.0,10.2,,6.7,2.2,,,2.8,,,32.8,0.0,0.0,0.0,0.0
54,55,44.0,31.2354,34.0,,,15.4,-6.4,20.0,0.385,0.625,0,0.0,,,,,,,,,,9.0,0.0,0.0,0.0,0.0
55,56,33.3,10.0,29.0,,,19.1,2.3,-40.9,0.4,0.6,1,1.0,,,,,,,,,,21.4,0.0,0.0,0.0,0.0
56,57,,8.0,21.0,,,24.0,0.0,0.0,0.25,0.5,0,0.0,,,,,,,,,,24.0,1.0,0.0,0.0,0.0
57,58,25.0,11.0,19.0,,,,,,0.3,0.5,0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0
58,59,,26.0,55.6,,,11.5,0.3,26.8,0.2,0.2,0,0.0,,,,,,,,,,11.8,1.0,0.0,0.0,0.0
59,60,,31.1,24.3,26.0,4.0,2.1,1.5,18.8,0.3333,0.5,0,0.0,18.1,,10.6,,,,,,,3.6,1.0,0.0,0.0,0.0
60,61,,32.4324,67.8774,6.0,,2.3,-0.6,2.1,0.444,0.25,0,0.0,,,,,,,,,,1.7,0.0,0.0,0.0,0.0
61,62,,32.5,18.7,6.0,1.0,-2.0,0.7,-224.0,0.25,0.4,0,0.0,,,,,,,,,,-1.3,0.0,0.0,0.0,0.0
62,63,,33.3333,48.7035,,2.0,28.0,-6.0,34.0,0.364,0.333,0,0.0,16.0,,,,,,,,,22.0,0.0,0.0,0.0,0.0
63,64,34.0,26.1,20.55,,,8.7,1.0,9.1,0.43,0.5,0,,2.79,,,,,,,,,9.7,1.0,,,
64,65,25.9,,20.0,20.0,,32.0,4.0,,0.25,0.25,0,0.0,,,,,,,0.0906,,,,0.0,0.0,0.0,0.0
65,66,,29.0,44.0,10.0,10.0,23.5,-0.6,45.1,0.2143,0.3333,0,0.0,,,,,,,,,,22.9,1.0,0.0,0.0,0.0
66,67,,18.5185,25.0,,,9.8,-0.8,2.9,0.2857,0.25,0,0.0,,,,,,,,,,9.0,0.0,0.0,0.0,0.0
67,68,,31.0,62.0,,,14.0,1.0,49.0,0.333,0.2,0,0.0,,,,,,,,,,15.0,1.0,0.0,0.0,0.0
68,69,,24.7,43.9,26.0,4.0,-4.5,-0.1,25.2,0.333,0.4,0,0.0,,,,,,,,,,-4.6,1.0,0.0,0.0,0.0
69,70,47.0,37.0,51.0,24.0,,36.8,-0.3,44.0,0.4615,0.5,0,0.0,14.0,15.8,8.0,4.0,,,3.0,,,36.5,0.0,1.0,0.0,0.0
70,71,46.0,24.0,31.0,16.0,,17.1,6.3,21.8,0.417,0.6,1,2.0,,,,,,,,,,23.4,1.0,0.0,0.0,0.0
71,72,40.0,28.0,51.0,6.0,,39.4,1.0,29.3,0.3,0.25,0,0.0,,,,,,,,,,40.4,0.0,0.0,0.0,0.0
72,73,36.0,22.6,17.7,18.0,1.0,,,,0.222,0.286,0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
73,74,,35.0,51.0,12.0,1.0,36.4,0.6,45.6,0.375,0.5,0,0.0,,,,,,,,,,37.0,1.0,0.0,0.0,0.0
74,75,26.0,14.7,15.5,12.0,6.0,8.4,-0.3,15.3,0.25,0.25,1,2.0,,,,,,,,,,8.1,1.0,0.0,0.0,0.0
75,76,,32.9,53.3,18.0,2.0,29.7,0.0,15.0,0.333,0.75,0,0.0,,,,,,,,,,29.7,1.0,0.0,0.0,0.0
76,77,56.0,30.0,25.0,,,1.0,-3.0,10.0,0.429,0.2,0,0.0,,,,,,,,,,-2.0,1.0,0.0,0.0,0.0
77,78,,31.4,55.0,14.0,2.0,3.7,1.4,29.6,0.3,0.25,0,0.0,13.0,,8.0,,,,,,,5.1,1.0,0.0,0.0,0.0
78,79,,32.4,40.4,18.0,,26.6,2.3,52.0,0.455,0.6,0,0.0,,,,,,,,,,28.9,1.0,0.0,0.0,0.0
79,80,,39.0,45.0,24.0,2.0,4.3,-6.9,-21.2,0.3,0.5,0,0.0,,,,,,,,,,-2.6,1.0,0.0,0.0,0.0
80,81,,33.0,47.0,,,,,,0.3333,0.6,0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0
81,82,,19.0,19.0,,,14.1,1.3,-1.8,0.25,0.5,0,0.0,,,,,,,,,,15.4,0.0,0.0,0.0,0.0
82,83,,34.0,45.0,40.0,40.0,31.4,-0.8,54.2,0.4,0.286,0,0.0,11.0,,,,,,,,,30.6,0.0,0.0,0.0,0.0
83,84,50.0,12.3,22.8,,,10.3,-0.6,33.8,0.222,0.0,0,0.0,,,,,,,,,,9.7,0.0,0.0,0.0,0.0
84,85,,14.2,38.3,,,20.9,3.7,23.8,0.25,0.286,0,0.0,,,,,,,,,,24.6,1.0,0.0,0.0,0.0
85,86,,,,,,,,,0.4,0.0,0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
86,87,,27.0,42.0,,,21.0,-6.0,25.0,0.3,0.2,0,0.0,,,20.0,,,,,,,15.0,1.0,0.0,0.0,0.0
87,88,,20.7,22.3,,,26.8,0.0,50.9,0.3,0.4,0,0.0,,,,,,,,,,26.8,0.0,0.0,0.0,0.0
88,89,2.6,18.5,31.4,21.0,2.0,21.0,-1.4,9.3,0.3,0.5,0,0.0,,,,,,,,,,19.6,1.0,0.0,0.0,0.0
89,90,,28.0,46.0,20.0,2.0,31.5,-0.1,49.4,0.385,0.4,0,0.0,,,,,,,,,,31.4,1.0,0.0,0.0,0.0
90,91,,23.6,50.5,,,45.8,0.6,46.6,0.5,0.6,0,0.0,,,,,,,,,,46.4,0.0,0.0,0.0,0.0
91,92,39.24,40.0,29.5,14.0,2.0,9.8,3.4,2.5,0.44,0.75,0,0.0,8.8,,,,,,,,,13.2,0.0,0.0,0.0,0.0
92,93,,23.0,56.0,,,8.5,-0.1,30.4,0.308,0.429,0,0.0,,,,,,,,,,8.4,1.0,0.0,0.0,0.0
93,94,50.0,33.0,33.0,,,0.0,-2.0,34.0,0.444,0.75,0,0.0,,,,,,,,,,-2.0,0.0,0.0,0.0,0.0
94,95,,49.0,35.0,16.0,3.0,-2.5,0.3,-50.4,0.5,0.429,0,0.0,,,,,,,,,,-2.2,1.0,0.0,0.0,0.0
95,96,41.0,14.0,35.0,,,13.8,1.5,15.7,0.273,0.5,0,0.0,2.0,,,,,,,,,15.3,1.0,0.0,0.0,0.0
96,97,52.0,28.0,40.0,16.0,16.0,19.1,2.7,24.4,0.455,0.4,0,0.0,,,,2.4,,,,,,21.8,1.0,0.0,0.0,0.0
97,98,,49.0,54.0,16.0,4.0,14.9,-0.3,46.5,0.364,0.333,0,0.0,,,,,,,,,,14.6,1.0,0.0,0.0,0.0
98,99,,37.8378,63.7004,,,5.6,0.81,38.72,0.4,0.167,0,0.0,,,,,,,,,,6.41,0.0,0.0,0.0,0.0
