"","E001","E002","E003","E004","E005","E006","E007","E024","E008","E009","E010","E011","E012","E013","E014","E015","E016","E017","E018","E019","E020","E025","E026","E021","E022","E023"
"1",NA,24,21,NA,NA,41,8,78,0.273,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,1,0,0,0
"2",NA,35.8,52,NA,NA,28,0,-95.9,0.25,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,0,0,0
"3",NA,29,51,16,2,3.6,0.3,24.9,0.3,0.5,0,0,6.07,NA,NA,9.35,NA,NA,2.83,NA,NA,3.9,0,0,0,0
"4",14,13.8,9.6,NA,NA,-1.3,-0.4,-37.1,0.375,0.4286,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7,0,0,0,0
"5",NA,NA,9,NA,NA,NA,NA,NA,0.182,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
"6",60,42,39,NA,NA,13.3,4.2,-20,0.429,0.667,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,17.5,0,0,0,0
"7",47.2,22,51,26,26,27.3,0.5,39,0.5,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,0,0,0,0
"8",NA,28,13,18,NA,19.1,6.9,0,0.222,0.143,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0,0,0,0
"9",NA,44.6,50.1,NA,NA,13.5,0,25.2,0.364,0.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,1,0,0,0
"10",NA,17,21,2,2,9.6,0.7,8.9,0.385,0.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,1,0,0,0
"11",NA,28.4,44.8,26,2,42.9,-0.4,43.1,0.273,0.286,0,0,40,NA,NA,NA,NA,NA,6,NA,NA,42.5,1,0,0,0
"12",46,22,26,16,1,34,0,49,0.3,0.333,1,3,NA,NA,10,NA,NA,NA,NA,NA,NA,34,1,0,0,0
"13",NA,15,31,NA,NA,3.2,0.3,3.8,0.375,0.667,0,0,NA,NA,11.1,NA,NA,NA,NA,NA,NA,3.5,1,0,0,0
"14",50,23.6,23.8,10,6,15,0.7,6.2,0.1818,0.1429,0,0,NA,NA,NA,3.1,NA,NA,NA,NA,NA,15.7,1,0,0,0
"15",NA,50,38.5,NA,NA,38.9,-1,36.9,0.313,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,0,0,0,0
"16",NA,33,51.7,26,2,34.9,5.7,64.5,0.3,0.2,0,0,3.4,NA,NA,NA,NA,NA,NA,NA,NA,40.6,0,0,0,0
"17",NA,13,36,NA,NA,-9.2,2.9,-33.3,0.25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.3,0,0,0,0
"18",48,24,35,12,2,19.8,1,38.8,0.417,0.5,0,0,26,NA,17,NA,NA,NA,NA,NA,NA,20.8,0,0,0,0
"19",NA,NA,67,18,18,8.7,-0.9,34,0.454,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,0,0,0,0
"20",NA,28,24,18,2,4.8,0.2,-21.5,0.417,0.429,0,0,NA,12,NA,NA,NA,NA,NA,NA,NA,5,1,1,0,0
"21",55,37,27.1,10,1,NA,NA,NA,0.308,0.167,0,0,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,1,0,0,0
"22",NA,NA,57.5,NA,NA,38.4,2.1,71.6,0.333,0.667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,1,0,0,0
"23",54,29,29,26,6,0.3,-0.01,0.23,0.23,0.222,1,0,12,NA,0.1,NA,NA,NA,0.0059,NA,NA,0.31,1,0,0,0
"24",NA,42,59,NA,NA,9.9,2.4,63.7,0.4167,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,1,0,0,0
"25",NA,16.7,32.9,16,2,23.1,-0.3,33.3,0.375,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,0,0,0,0
"26",NA,10,16,NA,NA,NA,NA,NA,0.455,0.4,0,0,NA,NA,NA,NA,NA,NA,1.8813,NA,NA,NA,0,0,0,0
"27",NA,17,35,NA,NA,NA,NA,NA,0.273,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"28",NA,36,33,26,4,-7.5,4,8.7,0.444,0.75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5,1,0,0,0
"29",NA,12,27,NA,NA,NA,NA,NA,0.111,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"30",NA,31,44,12,12,26.5,3.44,42.11,0.333,0.667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.94,1,0,0,0
"31",NA,NA,54,6,NA,47.9,-2.4,40.9,0.3,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,NA,0,0,0
"32",NA,24,23,NA,NA,2.9,-0.21,21.09,0.333,0.286,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.69,0,0,0,0
"33",NA,29.95,38.6,NA,NA,11,1,61,0.4,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,0,0,0
"34",27,5.22,7.78,NA,NA,NA,NA,NA,0.28,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,15,NA,NA,22.6,1.4,NA,0.25,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,0,0,0
"36",NA,NA,47.4,16,8,-0.6,0.26,-6.89,0.455,0.429,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,1,0,0,0
"37",NA,33,35,NA,NA,NA,NA,NA,0.25,0.4,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
"38",25,26,34.8,6,2,20.4,-2.1,56.1,0.5,0.4,0,0,8.3,NA,NA,NA,NA,NA,2.6,NA,NA,18.3,0,0,0,0
"39",NA,24,42,NA,NA,23.3,-6.3,13.9,0.4,0.75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,0,0,0
"40",NA,28,52,19,2,47.8,-0.4,60.5,0.357,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4,1,0,0,0
"41",NA,27,45,6,NA,13,-3,8,0.333,0.429,0,0,NA,NA,NA,NA,NA,NA,1.4,NA,NA,10,0,0,0,0
"42",NA,25.6,31,NA,NA,33.9,NA,69.5,0.33,0.29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,38,57.3,NA,NA,34.2,1.5,44.6,0.364,0.333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7,1,0,0,0
"44",50,23.7,40,18,6,NA,NA,NA,0.333,0.5,0,0,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"45",NA,11,42,NA,NA,13.9,1.3,40,0.4286,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,0,0,0,0
"46",NA,30,59,NA,NA,21.1,1.3,43.8,0.222,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4,0,0,0,0
"47",NA,18.18,35.19,NA,NA,18,0,0,0.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,0,0,0
"48",NA,42.1,52.3,18,2,11,0.9,0,0.4,0.429,0,0,11.9,7.8,NA,6.3,NA,NA,2.1,NA,NA,11.9,1,1,0,0
"49",NA,29,48,NA,NA,1.4,-1,23.3,0.286,0.333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,0,0,0
"50",NA,18,37,6,NA,17.8,-4.7,53.1,0.3,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,1,0,0,0
"51",58,25,26.9,16,2,8.5,0.7,7.4,0.333,0.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,1,0,0,0
"52",NA,41,52.4,26,2,37.1,0.7,57.3,0.4,0.5,0,0,16.4,NA,0,3,NA,NA,NA,NA,NA,37.8,0,0,0,0
"53",NA,37.2,48.5,NA,NA,29,2.8,49.1,0.273,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,0,0,0,0
"54",41,36.8,58.2,20,6,33.5,-0.7,41.8,0.25,0.25,1,4,10.2,NA,6.7,2.2,NA,NA,2.8,NA,NA,32.8,0,0,0,0
"55",44,31.2354,34,NA,NA,15.4,-6.4,20,0.385,0.625,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,0
"56",33.3,10,29,NA,NA,19.1,2.3,-40.9,0.4,0.6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4,0,0,0,0
"57",NA,8,21,NA,NA,24,0,0,0.25,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,0,0,0
"58",25,11,19,NA,NA,NA,NA,NA,0.3,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
"59",NA,26,55.6,NA,NA,11.5,0.3,26.8,0.2,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,1,0,0,0
"60",NA,31.1,24.3,26,4,2.1,1.5,18.8,0.3333,0.5,0,0,18.1,NA,10.6,NA,NA,NA,NA,NA,NA,3.6,1,0,0,0
"61",NA,32.4324,67.8774,6,NA,2.3,-0.6,2.1,0.444,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0,0,0,0
"62",NA,32.5,18.7,6,1,-2,0.7,-224,0.25,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3,0,0,0,0
"63",NA,33.3333,48.7035,NA,2,28,-6,34,0.364,0.333,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,0,0
"64",34,26.1,20.55,NA,NA,8.7,1,9.1,0.43,0.5,0,NA,2.79,NA,NA,NA,NA,NA,NA,NA,NA,9.7,1,NA,NA,NA
"65",25.9,NA,20,20,NA,32,4,NA,0.25,0.25,0,0,NA,NA,NA,NA,NA,NA,0.0906,NA,NA,NA,0,0,0,0
"66",NA,29,44,10,10,23.5,-0.6,45.1,0.2143,0.3333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,1,0,0,0
"67",NA,18.5185,25,NA,NA,9.8,-0.8,2.9,0.2857,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,0
"68",NA,31,62,NA,NA,14,1,49,0.333,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1,0,0,0
"69",NA,24.7,43.9,26,4,-4.5,-0.1,25.2,0.333,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.6,1,0,0,0
"70",47,37,51,24,NA,36.8,-0.3,44,0.4615,0.5,0,0,14,15.8,8,4,NA,NA,3,NA,NA,36.5,0,1,0,0
"71",46,24,31,16,NA,17.1,6.3,21.8,0.417,0.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,1,0,0,0
"72",40,28,51,6,NA,39.4,1,29.3,0.3,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,0,0,0,0
"73",36,22.6,17.7,18,1,NA,NA,NA,0.222,0.286,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"74",NA,35,51,12,1,36.4,0.6,45.6,0.375,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1,0,0,0
"75",26,14.7,15.5,12,6,8.4,-0.3,15.3,0.25,0.25,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,1,0,0,0
"76",NA,32.9,53.3,18,2,29.7,0,15,0.333,0.75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,1,0,0,0
"77",56,30,25,NA,NA,1,-3,10,0.429,0.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,1,0,0,0
"78",NA,31.4,55,14,2,3.7,1.4,29.6,0.3,0.25,0,0,13,NA,8,NA,NA,NA,NA,NA,NA,5.1,1,0,0,0
"79",NA,32.4,40.4,18,NA,26.6,2.3,52,0.455,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,1,0,0,0
"80",NA,39,45,24,2,4.3,-6.9,-21.2,0.3,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6,1,0,0,0
"81",NA,33,47,NA,NA,NA,NA,NA,0.3333,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
"82",NA,19,19,NA,NA,14.1,1.3,-1.8,0.25,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,0,0,0,0
"83",NA,34,45,40,40,31.4,-0.8,54.2,0.4,0.286,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,30.6,0,0,0,0
"84",50,12.3,22.8,NA,NA,10.3,-0.6,33.8,0.222,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,0,0,0,0
"85",NA,14.2,38.3,NA,NA,20.9,3.7,23.8,0.25,0.286,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,1,0,0,0
"86",NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"87",NA,27,42,NA,NA,21,-6,25,0.3,0.2,0,0,NA,NA,20,NA,NA,NA,NA,NA,NA,15,1,0,0,0
"88",NA,20.7,22.3,NA,NA,26.8,0,50.9,0.3,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8,0,0,0,0
"89",2.6,18.5,31.4,21,2,21,-1.4,9.3,0.3,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,1,0,0,0
"90",NA,28,46,20,2,31.5,-0.1,49.4,0.385,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,1,0,0,0
"91",NA,23.6,50.5,NA,NA,45.8,0.6,46.6,0.5,0.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,0,0,0,0
"92",39.24,40,29.5,14,2,9.8,3.4,2.5,0.44,0.75,0,0,8.8,NA,NA,NA,NA,NA,NA,NA,NA,13.2,0,0,0,0
"93",NA,23,56,NA,NA,8.5,-0.1,30.4,0.308,0.429,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,1,0,0,0
"94",50,33,33,NA,NA,0,-2,34,0.444,0.75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,0,0,0,0
"95",NA,49,35,16,3,-2.5,0.3,-50.4,0.5,0.429,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2,1,0,0,0
"96",41,14,35,NA,NA,13.8,1.5,15.7,0.273,0.5,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,15.3,1,0,0,0
"97",52,28,40,16,16,19.1,2.7,24.4,0.455,0.4,0,0,NA,NA,NA,2.4,NA,NA,NA,NA,NA,21.8,1,0,0,0
"98",NA,49,54,16,4,14.9,-0.3,46.5,0.364,0.333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,1,0,0,0
"99",NA,37.8378,63.7004,NA,NA,5.6,0.81,38.72,0.4,0.167,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,0,0,0,0
